,lane_ID,id,parent_id,time_sec,length_um,gfp_nb
555,20190515.0.10,23,16,11880,2.7625,29390.01460164
556,20190515.0.10,23,16,12060,2.8821000000000003,31899.38301594
557,20190515.0.10,23,16,12240,3.0108,32621.1674877
558,20190515.0.10,23,16,12420,3.12,34747.970138640005
559,20190515.0.10,23,16,12600,3.25,36425.769397380005
560,20190515.0.10,30,22,12780,1.78035,15313.04767476
561,20190515.0.10,30,22,12960,1.7797,15883.28624916
562,20190515.0.10,30,22,13140,1.8993,17018.0915256
563,20190515.0.10,30,22,13320,1.86615,16000.96060134
564,20190515.0.10,30,22,13500,1.97145,16749.61737372
565,20190515.0.10,30,22,13680,1.98315,16592.8667256
566,20190515.0.10,30,22,13860,2.08,17578.617994080003
567,20190515.0.10,30,22,14040,2.1183500000000004,17807.68028358
568,20190515.0.10,30,22,14220,2.23275,18100.4908887
569,20190515.0.10,30,22,14400,2.2945,18500.94436806
570,20190515.0.10,30,22,14580,2.405,19324.811782980003
571,20190515.0.10,30,22,14760,2.4778,19822.38041718
572,20190515.0.10,30,22,14940,2.54735,20578.25979792
573,20190515.0.10,30,22,15120,2.55905,20829.224736540004
574,20190515.0.10,30,22,15300,2.6767,21660.4787553
575,20190515.0.10,30,22,15480,2.7417,22683.95674578
576,20190515.0.10,30,22,15660,2.8743,23609.9598867
577,20190515.0.10,30,22,15840,2.9406000000000003,24847.935496560003
578,20190515.0.10,30,22,16020,3.0693,25605.9010449
579,20190515.0.10,30,22,16200,3.185,28047.132162720005
580,20190515.0.10,30,22,16380,3.38,29345.188649040003
581,20190515.0.10,30,22,16560,3.51845,31811.482030680003
582,20190515.0.10,30,22,16740,3.64,32748.001820820005
583,20190515.0.10,31,22,12780,1.664,15998.99366736
584,20190515.0.10,31,22,12960,1.6653000000000002,15872.417047080002
585,20190515.0.10,31,22,13140,1.7732,16941.916298340002
586,20190515.0.10,31,22,13320,1.7940000000000005,17256.1149387
587,20190515.0.10,31,22,13500,1.8135,17455.68883278
588,20190515.0.10,31,22,13680,1.8707,17422.26184314
589,20190515.0.10,31,22,13860,1.9266,18153.27393066
590,20190515.0.10,31,22,14040,1.98835,18446.5727622
591,20190515.0.10,31,22,14220,2.04685,19817.79006834
592,20190515.0.10,31,22,14400,2.17165,19981.48665546
593,20190515.0.10,31,22,14580,2.2828,20851.02888462
594,20190515.0.10,31,22,14760,2.36275,21249.99997164
595,20190515.0.10,31,22,14940,2.36795,22075.809202260003
596,20190515.0.10,31,22,15120,2.483,22694.88497958
597,20190515.0.10,31,22,15300,2.48885,22728.075876000003
598,20190515.0.10,31,22,15480,2.62015,24264.14196888
599,20190515.0.10,31,22,15660,2.7456,24850.906652880003
600,20190515.0.10,31,22,15840,2.8600000000000003,26391.53967912
601,20190515.0.10,31,22,16020,3.055,27909.36670302
602,20190515.0.10,31,22,16200,3.185,30013.63680546
603,20190515.0.10,32,23,12780,1.64515,19064.61372222
604,20190515.0.10,32,23,12960,1.69,19055.62823868
605,20190515.0.10,32,23,13140,1.755,19466.70095898
606,20190515.0.10,32,23,13320,1.82,20485.979906040004
607,20190515.0.10,32,23,13500,1.9214,21167.81955882
608,20190515.0.10,32,23,13680,1.98575,21575.31851574
609,20190515.0.10,32,23,13860,2.0566,21924.61716456
610,20190515.0.10,32,23,14040,2.1125000000000003,22701.76695666
611,20190515.0.10,32,23,14220,2.2282,23328.12206736
612,20190515.0.10,32,23,14400,2.35235,24132.44990376
613,20190515.0.10,32,23,14580,2.405,24706.7247438
614,20190515.0.10,32,23,14760,2.49145,24983.1020934
615,20190515.0.10,32,23,14940,2.67865,26735.88280572
616,20190515.0.10,32,23,15120,2.7547,28048.98809592
617,20190515.0.10,32,23,15300,2.81645,29274.92293572
618,20190515.0.10,32,23,15480,2.8795,31489.904516400005
619,20190515.0.10,32,23,15660,2.9471000000000003,33101.44184952
620,20190515.0.10,32,23,15840,3.1369,35664.74383824
621,20190515.0.10,32,23,16020,3.2617000000000003,36679.55287986
622,20190515.0.10,32,23,16200,3.3878,39749.246034300006
623,20190515.0.10,32,23,16380,3.51845,40820.28551964
624,20190515.0.10,32,23,16560,3.77325,45577.789575120005
625,20190515.0.10,34,31,16380,1.69,16366.00798404
626,20190515.0.10,34,31,16560,1.69,17070.966411840003
627,20190515.0.10,34,31,16740,1.78035,18015.80513832
628,20190515.0.10,34,31,16920,1.79465,20033.38022202
629,20190515.0.10,34,31,17100,1.85185,21866.36088978
630,20190515.0.10,34,31,17280,1.84795,23510.87383392
631,20190515.0.10,34,31,17460,1.90775,24716.03699268
632,20190515.0.10,34,31,17640,1.9617,26971.682736240004
633,20190515.0.10,34,31,17820,2.015,27598.651656840004
634,20190515.0.10,34,31,18000,2.015,28810.244418120004
635,20190515.0.10,34,31,18180,2.015,29425.7406267
636,20190515.0.10,34,31,18360,2.145,30402.459946980005
637,20190515.0.10,34,31,18540,2.21,31539.56880888
638,20190515.0.10,34,31,18720,2.275,31516.507418220004
639,20190515.0.10,34,31,18900,2.34,32754.06052182
640,20190515.0.10,34,31,19080,2.405,32977.014929100005
641,20190515.0.10,34,31,19260,2.535,32889.961583820004
642,20190515.0.10,34,31,19440,2.665,33806.22245352
643,20190515.0.10,34,31,19620,2.73,34018.57811286
644,20190515.0.10,34,31,19800,2.8008500000000005,34760.68584714
645,20190515.0.10,34,31,19980,2.9289,35602.2569826
646,20190515.0.10,34,31,20160,3.055,36955.47765888
647,20190515.0.10,34,31,20340,3.185,36993.95534934
648,20190515.0.10,34,31,20520,3.38,38817.9251262
649,20190515.0.10,34,31,20700,3.575,38711.29625946
650,20190515.0.10,38,30,16920,2.08,18038.59323156
651,20190515.0.10,38,30,17100,2.11055,18319.46147856
652,20190515.0.10,38,30,17280,2.21,18765.17675604
653,20190515.0.10,38,30,17460,2.21,18938.58431652
654,20190515.0.10,38,30,17640,2.34,19087.51196088
655,20190515.0.10,38,30,17820,2.405,19106.51764824
656,20190515.0.10,38,30,18000,2.4791000000000003,19485.23139684
657,20190515.0.10,38,30,18180,2.5408500000000003,19753.82337654
658,20190515.0.10,38,30,18360,2.60715,20013.718483440003
659,20190515.0.10,38,30,18540,2.68385,20711.03196888
660,20190515.0.10,38,30,18720,2.8652,21225.377168820003
661,20190515.0.10,38,30,18900,2.93735,22322.3245542
662,20190515.0.10,38,30,19080,3.0602,22980.0178872
663,20190515.0.10,38,30,19260,3.185,23475.63404934
664,20190515.0.10,38,30,19440,3.2565000000000004,24437.44887408
